prompt,input,output
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","A 28-year-old woman is brought to the emergency department by her family, showing signs of distress. She reports experiencing sudden and severe itching, and upon examination, a widespread urticarial rash is evident on her arms and chest. Her face and peri-oral area are visibly swollen, with angio-edema causing her lips to be notably enlarged. As the healthcare team assesses her, it becomes clear that she is struggling to breathe. She complains of difficulty breathing and intermittent wheezing. The combination of her symptoms and signs raises concerns of an acute allergic reaction. The woman's condition rapidly deteriorates. She starts experiencing bronchospasms, marked by audible wheezing and increased respiratory effort. Her heart rate is elevated, and her blood pressure drops, resulting in tachycardia and hypotension. Her extremities become cold and clammy, and her face shows pronounced edema. The severity of the reaction escalates, leading to facial edema, pronounced urticaria, and the development of cyanosis around her lips. As her condition worsens, she begins to feel lightheaded and dizzy, eventually collapsing and losing consciousness. Recognizing the critical nature of the situation, the medical team initiates immediate intervention. They administer epinephrine, oxygen therapy, and intravenous fluids. ","{'Suspected medical condition': 'ACUTE ALLERGIC REACTION', 'Causes': ['Bee or other insect stings', 'Drugs (e.g., penicillins, sulphonamides)', 'Vaccines', 'Antisera (e.g., snake serum, anti-tetanus serum)', 'Intravenous contrast media', 'Foods (e.g., seafood, groundnuts, fruit)'], 'Investigations': ['FBC (eosinophilia)', 'Skin prick test for specific allergens', 'Serum specific IgE'], 'Treatment': {'TreatmentObjectives': ['Secure airways, breathing, and circulation', 'Remove offending cause if possible', 'Rapidly intervene and correct abnormal vital signs'], 'NonPharmacological': ['Avoid the allergen', 'Resuscitation'], 'Pharmacological': {'1stLineTreatment_AcuteAnaphylacticReaction': ['Oxygen (nasal prongs, face mask, non-rebreather mask)', 'Adrenaline (Epinephrine), IM', 'Hydrocortisone, IV', 'Prednisolone, oral', 'Promethazine hydrochloride, IM', 'Chlorpheniramine, IM'], '1st Line Treatment Severe Airway Obstruction': ['Salbutamol, nebulized', 'Aminophylline, IV'], '1st Line Treatment SevereHypotension': ['Normal saline, IV']}}}"
"As a medical copilot, please answer the following medical questions.","Given the severity of the acute allergic reaction a patient is experiencing, are there any specific antibiotic prophylaxis considerations we should keep in mind to prevent potential secondary infections?","{'Causes': ['Staphylococcus aureus', 'Streptococcus spp.', 'Enterobacteriaceae (GI)', 'Anaerobes (GI)', 'Coagulase negative staphylococci (especially cardiac surgery, and implantation surgery), etc.'], 'Objectives': ['Prevent infections', 'Prevent complications'], 'Indications': {'Proven Indications': ['Acute appendicitis and intestinal obstruction', 'Surgery on the colon and rectum', 'Surgery on the biliary tract', 'Gastro-oesophageal and oro-pharyngeal surgery for carcinoma', 'Hysterectomy', 'Surgery in the presence of pus', 'Patients with rheumatic heart disease', 'Patients with congenital heart disease'], 'Accepted Indications': ['Implant surgery where prosthesis and device implants are used', 'Cardiovascular surgery', 'Caesarean section'], 'Possible Indications': ['Thoracic surgery', 'Neurosurgery', 'Surgery on the genito-urinary tract', 'Trauma surgery']}, 'ChoiceOfAntibiotics': 'The antibiotic chosen must have antibacterial activity against the anticipated pathogens, not easily induce antimicrobial resistance, have a high concentration at the site of infection, be safely metabolized and excreted, have few toxic or adverse reactions, and be affordable.'}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","A 55-year-old man presents to the clinic with complaints of abdominal discomfort and a noticeable increase in abdominal girth over the past few weeks. He reports a decrease in appetite, early satiety, and mild nausea. On physical examination, his abdomen appears distended and tense, with visible prominence of veins over the abdominal wall. Palpation reveals shifting dullness and a fluid wave, indicating the presence of fluid within the abdominal cavity. He also has mild lower extremity edema. His medical history includes a long-standing history of alcohol consumption. Laboratory tests show elevated liver enzymes and decreased serum albumin levels. Imaging reveals an enlarged liver with evidence of portal hypertension. ","{'Suspected medical condition': 'ASCITES', 'Causes': ['Portal hypertension secondary to liver cirrhosis', 'Renal failure', 'Nephrotic syndrome', 'Cardiac failure', 'Abdominal tuberculosis', 'Intra-abdominal or pelvic malignancies'], 'Investigations': ['FBC', 'BUE & Creatinine', 'LFTs', 'INR', 'Urinalysis', 'Abdominal-pelvic ultrasound', 'Chest X-ray', 'Diagnostic paracentesis', 'Appearance and color', 'Gram stain', 'Cell count and differential', 'Biochemistry e.g. Albumin', 'Microscopy, culture (with bedside inoculation of aerobic & anaerobic blood culture bottles)', 'Acid fast bacilli', 'Cytology'], 'Treatment': {'Treatment Objectives': ['To relieve symptoms', 'To identify and manage underlying cause'], 'Non-pharmacological': ['Bed rest', 'Salt restriction <2 g/day', 'Fluid restriction to <1.5 L/day', 'Avoid NSAID-use', 'Alcohol abstinence', 'Therapeutic paracentesis (sterile abdominal tap) if ascites is tense and/or there is respiratory embarrassment'], 'Pharmacological': {'Control of ascitic fluid accumulation': ['Spironolactone, oral', 'Furosemide, oral'], 'Massive ascites in liver cirrhosis with respiratory embarrassment requiring more than 5 litres of fluid drainage': ['Salt-poor human albumin solution, IV, 6-8 g per litre of ascitic fluid drained']}, 'Referral Criteria': 'Patients with the following conditions must be referred to a specialist. Poor response to diuretic therapy or diuretic-refractory ascites, complicated cirrhotic ascites with suspected spontaneous bacterial peritonitis, hepato-renal syndrome, and hepatic encephalopathy.'}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","A 4-year-old boy is brought to a pediatrician's office by his parents due to concerns about his developmental progress. His parents note that he rarely engages in joint attention activities, such as pointing or showing interest in objects. He demonstrates difficulty with communication, often using gestures rather than words to express his needs. His range of interests is limited, and he frequently engages in repetitive activities like lining up toys. On examination, the boy avoids making eye contact and appears distant during interactions. His language development is significantly delayed; he does not use single words at 18 months and lacks two-word spontaneous phrases at 24 months. In fact, there has been a noticeable regression in his language skills, as he previously used more words at a younger age. He also struggles with sleeping and feeding, often displaying strong aversions to certain textures and tastes. In addition to these concerns, the boy's parents report that he has difficulty focusing and paying attention. He also experiences learning difficulties, often requiring additional support in his preschool setting. His pediatrician recognizes the pattern of symptoms and signs, including the absence of joint attention, communication deficits, repetitive behaviors, and developmental delays.","{'Suspected medical condition': 'AUTISM', 'Causes': ['No clear etiology', 'Genetic'], 'Investigations': ['Usually none required', 'Electroencephalogram (EEG) if seizures suspected', 'Brain CT or MRI only in special circumstances e.g. abnormal physical features present'], 'Treatment': {'Treatment Objectives': ['To correct social communication difficulties using a multidisciplinary behavioral and educational approach'], 'Non-pharmacological': ['Applied Behaviour Analysis (ABA)', 'Physiotherapy', 'Walking aid when lower limb is involved'], 'Pharmacological': {'For aggression, irritability, or self-mutilation': ['Risperidone, oral'], 'For sleep problems': ['Melatonin, oral'], 'For significant hyperactivity in children 4 years': ['Methylphenidate, oral'], 'Referral Criteria': 'Refer all suspected cases of autism to a Tertiary center.'}}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","A 45-year-old man visits your clinic complaining of persistent pain in his right hip that has worsened over the past few months. He reports discomfort in the hip joint, groin, and buttock area, which has led to a noticeable limp. On examination, you observe him favoring his right leg and note tenderness during joint movement. Limited range of motion, particularly internal rotation and abduction, is evident. A leg length discrepancy is also observed. X-rays reveal reduced joint space and changes consistent with hip bone deterioration. Based on these findings, how would you approach the evaluation and management of this patient's condition?","{'Suspected medical condition': 'AVASCULAR NECROSIS', 'Causes': {'Non-traumatic': ['Sickle-cell anemia', 'Infection - septic arthritis', 'Slipped capital femoral epiphyses / slipped upper femoral epiphyses', 'HIV', 'Prolonged steroid use', 'Alcohol abuse', 'Vasculitis', 'Idiopathic', 'Developmental dysplasia of hip'], 'Traumatic': ['Displaced femoral neck fractures', 'Dislocations of joints']}, 'Investigations': ['X-ray', 'MRI'], 'Treatment': {'TreatmentObjectives': ['Treat underlying cause', 'Prevent progression', 'Encourage recovery', 'Pain relief'], 'Non-pharmacological': ['Physiotherapy', 'Walking aid when lower limb is involved'], 'Pharmacological': {'For pain relief': ['Naproxen EC, oral', 'Celecoxib, oral', 'Diclofenac, oral', 'Ibuprofen, oral'], 'For prevention of bone collapse': ['Pamidronate, consult specialist', 'Alendronate, consult specialist'], 'Referral Criteria': 'Refer once the diagnosis is made to orthopedic specialist.'}}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","A 65-year-old woman arrives at the emergency department complaining of palpitations and a feeling of her heart racing. She describes occasional episodes of dizziness and shortness of breath, especially when she's physically active. She also mentions moments of lightheadedness, occasionally leading to near-fainting experiences. The patient has a history of hypertension and takes medication for it. On examination, you notice an irregular pulse and an occasional extra heartbeat during auscultation. She exhibits normal blood pressure, and no murmurs or abnormal heart sounds are detected. You perform an ECG, which confirms the presence of an irregular rhythm with absent P waves and varying R-R intervals. The patient's history of hypertension, along with these classic signs and symptoms, raises concerns about a potential underlying arrhythmia.","{'Suspected medical condition': 'ARRHYTHMIAS', 'Causes': {'Bradyarrhythmias': {'Causes': ['Sinus bradycardia', 'Sinus pauses', 'Atrioventricular blocks']}, 'Tachyarrhythmias': {'Causes': ['Atrial fibrillation', 'Atrial flutter', 'Paroxysmal supraventricular tachycardia', 'Ventricular tachycardia', 'Ventricular fibrillation']}}, 'Investigations': ['12-lead ECG', 'Serum electrolytes (including magnesium, calcium)', 'Thyroid function tests', 'Chest X-ray', 'Ambulatory ECG (Holter)', 'Echocardiography'], 'Treatment': {'TreatmentObjectives': ['To control ventricular rate', 'To restore sinus rhythm', 'To relieve symptoms', 'To improve functional capacity and quality of life', 'To prevent or treat associated complications', 'To treat the underlying condition e.g. thyrotoxicosis', 'To prevent stroke or systemic thromboembolism', 'To reduce morbidity and mortality'], 'Non-pharmacological': ['Reassure the patient', 'Avoid excessive intake of alcohol, coffee, or tea and stop smoking (if these are possible precipitating factors)', 'Massage of the carotid sinus on one side for a few seconds. This may terminate an attack of paroxysmal supraventricular tachycardia', 'Electrical cardioversion'], 'Pharmacological': {'Fast atrial fibrillation or atrial flutter - for rate control': ['Atenolol, oral', 'Bisoprolol, oral', 'Metoprolol tartrate, oral', 'Verapamil, oral'], 'Fast atrial fibrillation or atrial flutter - for rhythm control': ['Refer to a cardiologist, physician specialist or paediatrician as appropriate'], 'Paroxysmal supraventricular tachycardia': ['Atenolol, oral', 'Bisoprolol, oral', 'Metoprolol tartrate, oral', 'Verapamil, oral', 'Digoxin, oral'], 'Prevention of stroke or systemic thromboembolism in atrial fibrillation or flutter': ['Patients should be given long-term anticoagulation']}}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","A 30-year-old man presents with alternating periods of intense euphoria, impulsivity, and decreased need for sleep, followed by episodes of deep sadness, loss of interest, and isolation. His family history includes a relative with bipolar disorder. The classic pattern of manic and depressive episodes suggests a potential diagnosis of bipolar disorder. ","{'Suspected medical condition': {'Diagnosis': {'BipolarDisorder': 'BIPOLAR DISORDER ...', 'SingleManicEpisode': 'A single manic episode and a history of depression qualify for classification as bipolar disorder.', 'CurrentDepressionEpisode': 'A current episode of depression without a past manic episode is not diagnosed as bipolar disorder.', 'RecurrentDepression': 'Repeated depressive episodes are diagnosed as recurrent depression.'}}, 'Causes': {'Unknown': 'The Causes of bipolar disorder are largely unknown.', 'PossibleAssociations': ['Tendency to run in families', 'Genetic factors']}, 'Investigations': {'NoSpecific': 'Usually no specific investigations are needed.', 'Thyrotoxicosis': 'Rarely, thyrotoxicosis may mimic mania and must be excluded.'}, 'Treatment': {'Objectives': ['Treat symptoms of mania or depression, whichever is present with the current episode', 'Reduce manic activity to a manageable state', 'Elevate mood to a normal state in depression', 'Abolish psychotic symptoms if present'], 'NonPharmacological': ['Psychotherapy', 'Psychoeducation'], 'Pharmacological': [{'Management Manic Patient': ['Risperidone, oral', 'Olanzapine, oral', 'Haloperidol, oral', 'Chlorpromazine, oral', 'Sodium valproate, oral', 'Carbamazepine, oral']}, {'Management Aggressive Patient': {'Pharmacological': [{'medication': 'Lorazepam, IV/IM', 'administration': {'Adults': '2-4 mg stat. Repeated once after 10 minutes if necessary.', 'Children': {'> 12 years': '500 microgram-2 mg (max. 4 mg)', '< 12 years': '500 microgram-1 mg (max. 2 mg)'}}}, {'medication': 'Haloperidol, IM', 'administration': {'Adults': '2-5 mg stat. may repeat in 4-8 hours (max. 20 mg per day)', 'Children': {'13-18 years': '2-5 mg 4-8 hourly as required', '6-12 years': '1-3 mg 4-8 hourly as required (max. 0.15 mg/kg per day)', '< 5 years': 'not recommended'}}}, {'medication': 'Haloperidol, oral', 'administration': {'Adults': '3-5 mg 8-12 hourly (max. 30 mg per day)', 'Children': {'> 12 years': '3-5 mg 8-12 hourly as required (max. 30 mg per day)', '3-12 years (15-40 kg)': '0.25-0.5 mg per day (max. 0.5 mg per day)', '< 3 years': 'not recommended'}}}, {'medication': 'Chlorpromazine, IM (for very agitated patients)', 'administration': {'Adults': '50-150 mg stat. repeated after 30-40 minutes if necessary', 'Children': {'12-18 years': '25-50 mg 6-8 hourly', '6-12 years': '500 microgram/kg 6-8 hourly (max. 75 mg per day)', '1-6 years': '500 microgram/kg 6-8 hourly (max. 40 mg per day)'}}, 'note': 'Never give chlorpromazine intravenously! It may lead to severe hypotension.'}, {'medication': 'Olanzapine, IM', 'administration': {'Adults': '10-20 mg stat. subsequent doses of 10 mg may be given 2 hours after initial dose, if necessary and 4 hours after 2nd dose (max. 30 mg per day)', 'Children': 'Not recommended'}}, {'medication': 'Chloral hydrate, oral or rectal', 'administration': {'Adults': '500 mg-1g', 'Children': {'12-18 years': '500 mg-1 g', '1 month-12 years': '30-50 mg/kg (max. 1g)', 'Neonate': '30-50 mg/kg'}}}, {'medication': 'Diazepam, IV', 'administration': {'Adults': '10 mg slowly over 2-3 minutes (approximately 2.5 mg every 30 seconds)', 'Children': '200-300 microgram/kg slowly over 2-3 minutes. This may be repeated after 10 minutes if necessary (max 10 mg)'}}, {'medication': 'Diazepam, rectal', 'administration': {'Children': {'> 12 years': '0.2 mg /kg', '6-12 years': '0.3 mg/kg', '2-6 years': '0.5 mg/kg', '1 month-2 years': '2.5 mg', 'Neonates': '1.25-2.5 mg'}, 'note': 'This may be repeated after 10 minutes (max 10 mg)'}}]}}, {'ManagementDepressivePhase': ['Lamotrigine, oral', 'Lorazepam, oral', 'Diazepam, oral']}, {'MaintenanceManagement': ['Lithium, oral', 'Sodium valproate, oral', 'Carbamazepine, oral'], 'Referral Criteria': 'Refer all patients suffering a first episode, not responding to treatment after one month, and all children to a psychiatrist.'}]}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","A newborn infant is admitted to the neonatal intensive care unit due to birth-related complications. The infant's mother had a prolonged and difficult labor, during which the baby experienced a lack of oxygen. As a result, the baby was born with poor muscle tone and difficulty breathing. On examination, you notice that the baby has weak reflexes, particularly in the limbs, and is having difficulty feeding. The baby's skin color appears slightly blue, indicating possible respiratory distress. Further assessment and monitoring reveal signs of hypoxic-ischemic injury, including seizures and altered consciousness. ","{'Causes': 'Birth injuries are often due to difficult deliveries, including instrumental deliveries.', 'Suspected medical condition': 'BIRTH INJURIES', 'Investigations': ['Haemoglobin level for subgaleal haemorrhage', 'Serum bilirubin if jaundiced', 'X-ray of relevant part if fracture is suspected'], 'Treatment': {'Objectives': ['Arrest further bleeding', 'Treat complications of anemia and jaundice', 'Re-establish near normal movement in affected limb', 'Promote normal healing of fracture'], 'NonPharmacological': ['Extensive caput succedaneum: Reassure parents, leave swelling alone', 'Cephalhaematoma: Reassure parents, leave swelling alone', 'Subgaleal Haemorrhage: Phototherapy if jaundice levels require', 'Nerve injuries: Physiotherapy', 'Fractures: May require splinting'], 'Pharmacological': {'PainRelief': ['Paracetamol', 'Morphine'], 'MaintenanceManagement': ['Lithium, oral', 'Sodium valproate, oral', 'Carbamazepine, oral'], 'Referral Criteria': 'Refer all patients with respiratory failure, heart failure, renal failure, muscle paralysis, muscle necrosis, bleeding, or intravascular hemolysis to a regional hospital for specialist care.'}}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","A 25-year-old man is brought to the emergency department after being bitten by a snake while hiking in a wooded area. The patient describes sudden, intense pain at the site of the bite, followed by swelling and discoloration. He also reports feeling dizzy and nauseous. On examination, you observe a puncture wound with surrounding swelling on his lower leg. The patient's vital signs show an elevated heart rate and low blood pressure. He appears anxious and sweaty. You ask about the snake's appearance, but he couldn't identify the specific species. Given the symptoms, signs, and the possibility of envenomation, you initiate immediate management. The patient is placed on a cardiac monitor, and intravenous fluids are administered to stabilize his blood pressure.","{'Suspected medical condition': 'SNAKE BITES', 'Causes': {'Snakes': 'Vipers, cobras, water snakes.', 'Introduction': {'Information': 'Most snake bites are non-poisonous. Vipers are the commonest cause of poisonous snake bites in tropical Africa. Others are the cobras and water snakes.', 'Observation': 'All cases of snake bites (venomous/non-venomous) should be observed for at least 6 hours.', 'Identification': 'Identify the type of snake if possible. Don’t rely too much on fang marks; however multiple fang marks usually indicate a non-poisonous bite whereas one or two fang marks suggest a poisonous bite.', 'Importance': 'It is important to determine whether envenomation has occurred.', 'Controversies': 'The role of tourniquets and incision over the site of the bite are controversial issues and are to be avoided.'}, 'Signs': {'Poisonous_snake_bites': {'Cardiovascular': ['Hypotension, shock, cardiac arrhythmias', 'Spontaneous systemic bleeding', 'Dark urine from myoglobinuria and intravascular haemolysis'], 'Neuromuscular': ['Cranial nerve paralysis', 'Bulbar respiratory paralysis', 'Impaired consciousness, seizures', 'Meningism', 'Tender and stiff muscles'], 'Local_effects': ['Rapid progression of swelling to more than half of bitten limb', 'Blistering, necrosis and bruising', 'Fascial compartmentalisation on bitten digits']}}}, 'Investigations': {'List': ['Full blood count', 'Renal function test', '20 minutes whole blood clotting test', 'Liver function test']}, 'Treatment': {'Objectives': ['Relieve pain and anxiety', 'Support respiration or circulation if indicated', 'Counteract the spread and effect of snake venom', 'Prevent secondary infection'], 'NonPharmacological': {'First_Aid': ['Immobilization/splinting of affected limb', 'Clean the wound and reassure the patient'], 'At_hospital': ['Bed rest, reassurance, keep warm', 'Assess patient’s airway, breathing and circulation (ABC of resuscitation)'], 'Probable_venomous_bites': ['Clean site of bite with antiseptic lotion or soap and water', 'Do not attempt to suck or make any incisions at the site of the bite', 'Leave wound open; punctured wounds are especially likely to be infected', 'Surgical debridement when required']}, 'Pharmacological': {'1st_Line_Treatment': {'Indication_for_anti-venom_treatment': ['Presence of symptoms and signs of local and systemic effects of envenomation', 'Anti-snake serum (ASS) - polyvalent', 'Test dose - 0.2 ml, subcutaneous, to test for anaphylaxis', 'ASS 50-100 ml (5-10 ampoules) depending on severity by IV drip', 'Monitor patient and correct various conditions'], 'Pain_relief': ['Paracetamol, oral', 'Morphine, IV, IM, SC'], 'Prevention_of_secondary_infection': ['Amoxicillin (Amoxycillin), oral']}, 'Note': 'Corticosteroids are of little or no value during poisoning except in treating anaphylactic crisis. Avoid venopuncture in sites of generalized bleeding.'}}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","A 10-year-old child is brought to the emergency department after being bitten by a dog. The child was playing in the park when the incident occurred. On examination, there is a puncture wound on the child's forearm with surrounding redness and swelling. The child is visibly upset and anxious.","{'Causes': 'DOG AND OTHER ANIMAL BITES', 'Treatment': {'Objectives': ['Treat laceration', 'Prevent rabies infection', 'Prevent other infections', 'Treat any secondary infection'], 'Non Pharmacological': {'Immediate_Local_Care': ['Wash site with soap and water', 'Thorough irrigation with copious amounts of saline solution or cleansing with cetrimide plus chlorhexidine solution']}, 'Pharmacological': {'1st_Line_Treatment': {'Flucloxacillin': 'Flucloxacillin, oral,\nAdults\n500 mg 6 hourly for 7 days\nChildren\n5-12 years; 250 mg 6 hourly for 7 days\n1-5 years; 125 mg 6 hourly for 7 days\n> 1 year; 62.5 mg 6 hourly for 7 days', 'Amoxicillin': 'Amoxicillin (Amoxycillin), oral,\nAdults\n500 mg 8 hourly for 7 days\nChildren\n6-12 years; 250 mg 8 hourly for 7 days\n1-5 years; 125 mg 8 hourly for 7 days\n< 1 year; 62.5 mg 8 hourly for 7 days', 'Tetanus_Immunisation': 'Update or provide (if not previously immunised) tetanus Immunisation (See section on ‘Tetanus Immunisation’)'}}}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","A 30-year-old man presents to the emergency department with a wound on his hand after being bitten by another person during a fight. The wound appears red and swollen, with some oozing of blood and clear fluid. The patient reports pain and discomfort at the site. On examination, there are signs of infection, including warmth and tenderness around the wound.","{'Causes': 'HUMAN BITES', 'Treatment': {'Objectives': ['Relieve pain', 'Treat any secondary infection'], 'Non Pharmacological': {'Clean_Wound': 'Clean wound thoroughly'}, 'Pharmacological': {'1st_Line_Treatment': {'Tetanus_Prophylaxis': 'Tetanus prophylaxis (See section on ‘Tetanus prophylaxis’)', 'Flucloxacillin': 'Flucloxacillin, oral,\nAdults\n500 mg 6 hourly for 7 days\nChildren\n5-12 years; 250 mg 6 hourly for 7 days\n1-5 years; 125 mg 6 hourly for 7 days\n> 1 year; 62.5 mg 6 hourly for 7 days', 'Amoxicillin': 'Amoxicillin (Amoxycillin), oral,\nAdults\n500 mg 8 hourly for 7 days\nChildren\n6-12 years; 250 mg 8 hourly for 7 days\n1-5 years; 125 mg 8 hourly for 7 days\n< 1 year; 62.5 mg 8 hourly for 7 days', 'Paracetamol': 'Paracetamol, oral,\nAdults\n500mg-1g 6-8 hourly\nChildren\n6-12 years; 250-500 mg 6-8 hourly\n1-5 years; 120-250 mg 6-8 hourly\n3 months-1 year; 60-120 mg 6-8 hourly', 'Note': 'As a general rule, do not suture wounds from human bite.'}, 'Referral_Criteria': 'Refer if there is necrotising fasciitis.'}}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","A 60-year-old man arrives at the emergency department complaining of blood in his urine and lower abdominal pain. He has a history of heavy smoking. After initial assessment, vital signs are stable. Given his symptoms and risk factors, the GP orders urine analysis, blood tests, and a CT scan. The scan reveals a suspicious bladder mass. ","{'Suspected medical condition': 'BLADDER CANCER', 'Causes': ['Chronic Infections of the bladder', 'Smoking of cigarettes', 'Occupational risks', 'Genetic and familial factors'], 'Investigations': ['FBC and ESR', 'Urine analysis and culture', 'Urine cytology', 'Urea, creatinine, electrolytes', 'Ultrasound scan', 'CT Scan /MRI for staging', 'Special Investigations'], 'Treatment': {'Objectives': ['Surgical cure for early disease', 'Prevention of recurrence, progression and metastases', 'Management of complications', 'Additional treatment with cancer drugs and radiotherapy where necessary'], 'NonPharmacologicalTreatment': ['Cystectomy: Partial or radical with or without bladder replacement', 'Radiotherapy'], 'PharmacologicalTreatment': {'EarlyStage': ['BCG or Thiotepa bladder instillation for superficial tumours after TURBT'], 'AdvancedDisease': ['Chemotherapeutic agents recommended for advanced stage include Methotrexate, Vinblastine, Adriamycin and Cisplatin.']}}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","The patient presented with spontaneous bleeding from gums and nose, easy bruising, prolonged bleeding from cuts, and pain with swelling in joints. History reveals these symptoms over a few months, with parents noting easy bruising, prolonged bleeding from minor cuts, and gum bleeding. Additionally, the patient reported joint pain and limited movement due to swelling. Examination indicated notable ecchymoses on arms and legs, gum bleeding, and swelling in the right knee joint. X-rays confirmed changes consistent with joint bleeds.","{'Suspected medical condition': 'BLEEDING DISORDERS', 'Causes': ['Haemophilia', 'Von Willebrand disease', 'Liver disease', 'Vitamin K deficiency', 'Bone marrow failure', 'Low platelet count', 'Disseminated Intravascular Coagulation (DIC)', 'Drug induced'], 'Investigations': ['FBC and blood film', 'Platelet count', 'Liver function tests', 'Coagulation tests', 'Bleeding time'], 'Treatment': {'Objectives': ['To prevent or arrest bleeding', 'To identify and correct underlying cause'], 'Non-Pharmacological-Treatment': ['Apply regulated pressure dressing and/or ice packs', 'Stop any event/drugs responsible for bleeding', 'Educate patients on minimizing trauma-prone activities'], 'Pharmacological-Treatment': {'General-Measures': ['Fluid replacement following acute severe blood loss', 'Sodium Chloride 0.9%, IV'], 'Bleeding-Due-To-Underlying-LiverDisease': ['Vitamin K, IV', 'Fresh Frozen Plasma, IV'], 'Haemophilia-A': ['Recombinant Factor VIII, intravenous', 'Desmopressin, Intranasal'], 'Haemophilia-B': 'Recombinant Factor IX', 'VonWillebrand-Disease': 'Desmopressin, Intranasal', 'DIC': ['Treat underlying cause', 'Fresh Frozen Plasma', 'Coagulation factor, red cell and platelet concentrates as needed'], 'Thrombocytopaenia-Requiring-Platelet-Transfusion': 'Platelet Concentrate', 'Prevention-Of-Local-Fibrinolysis': 'Tranexamic Acid, oral and IV'}, 'Referral-Criteria': 'Refer all haemophiliacs and all patients with unexplained recurring bleeding episodes and those requiring surgery to a specialist.'}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","The patient presented with single or multiple painful swellings on the skin, which may discharge pus. The history revealed the presence of these symptoms, causing discomfort and pain. On examination, the affected areas showed tender, swollen lesions with evidence of pus drainage.","{'Suspected medical condition': 'BOILS', 'Causes': 'Staphylococcus aureus', 'Investigations': ['FBC', 'Fasting blood glucose (if diabetes suspected)', 'Swabs for culture and sensitivity'], 'Treatment': {'Objectives': ['To treat infection', 'To relieve pain', 'To identify and treat any predisposing condition', 'To prevent scars and keloids'], 'NonPharmacologicalTreatment': ['Incision and drainage - if boil becomes fluctuant and large', 'Wound dressing'], 'PharmacologicalTreatment': {'1st-Line-Treatment': {'For-Boils-Or-Furunculosis-Without-Penicillin-Allergy': ['Flucloxacillin, oral'], 'For-Boils-Or-Furunculosis-With-Penicillin-Allergy': ['Erythromycin, oral'], 'Paracetamol': 'Oral'}, 'For-Folliculitis': 'Mupirocin ointment, topical', 'Referral-Criteria': 'Refer to a specialist if the underlying condition requires further management.'}}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","What would you suspect in a 25-year-old woman who presents with symptoms of gradual fever onset over the past week, including high fever, chills, and fatigue? She also complains of loss of appetite, mild diarrhea, generalized abdominal tenderness, and an enlarged spleen. Blood tests show a positive Widal test for a specific pathogen. ","{'Suspected medical condition': 'Typhoid Fever', 'Complications': ['Intestinal perforation with peritonitis', 'Bloody stools', 'Acute psychosis', 'Severe intravascular haemolysis leading to acute kidney injury (especially in G6PD deficiency)'], 'Causes': ['Salmonella typhi and paratyphi'], 'Investigations': ['FBC, differential', 'RDT / blood film for malaria parasite (to exclude malaria)', 'Blood culture', 'Typhoid immunoassay', 'Stool culture', 'Urine culture'], 'Diagnosis_Notes': 'Diagnosis of typhoid fever is based on a strong clinical suspicion backed by various tests.', 'Treatment': {'Objectives': ['Eradicate the infection', 'Detect and manage complications', 'Prevent transmission of infection to other people'], 'NonPharmacological': {'Tepid_Sponging': 'Tepid sponging to reduce body temperature if required'}, 'Pharmacological': {'1st_Line_Treatment': {'Ciprofloxacin_Oral': 'Ciprofloxacin, oral, Adults 500 mg 12 hourly for 10-14 days, Children 10 mg/kg 12 hourly for 10-14 days', 'Ciprofloxacin_IV': 'Ciprofloxacin, IV, Adults 400 mg 8-12 hourly for 10-14 days, Children 10 mg/kg (max. 400 mg) 12 hourly for 10-14 days', 'Note': 'Ciprofloxacin should be used with caution in children. Alternative treatment should be started in case of tendinitis.'}, '2nd_Line_Treatment': {'Ceftriaxone_IV': 'Ceftriaxone, IV, Adults 2-4 g daily for 7-10 days, Children 100 mg/kg daily for 7-10 days', 'Azithromycin_Oral': 'Azithromycin, oral, Adults 500 mg daily for 7 days, Children 10-20 mg/kg for 7 days'}}, 'Referral_Criteria': 'Refer very ill patients and those with complications to the appropriate specialist. Healthy carriers should also be referred for specialist management.'}}"
